doi,date_preprint,date_journal_submission,date_publication,span_submission_preprint,span_publication_preprint
10.1016/j.molcel.2024.04.018,2023-08-09,2024-01-30,2024-05-16,174,281
10.1126/sciadv.adj8027,2023-07-24,2023-07-17,2024-02-07,-7,198
10.1038/s41531-024-00816-w,2024-06-10,2024-06-07,2024-10-30,-3,142
10.1073/pnas.2402206121,2024-01-16,2024-01-31,2024-08-01,15,198
10.1038/s41467-024-44732-2,2022-08-27,2022-10-05,2024-01-10,39,501
10.1126/sciadv.adn6016,2023-10-10,2023-12-18,2024-08-21,69,316
10.1038/s44318-024-00180-8,2023-12-17,2024-02-29,2024-08-05,74,232
10.1016/j.nbd.2025.106794,2024-08-19,2024-10-03,2025-01-11,45,145
10.1038/s41531-025-00894-4,2024-04-29,2024-05-25,2025-03-19,26,324
10.1016/j.stem.2023.12.012,2021-05-21,2023-10-31,2024-02-01,893,986
10.1038/s41587-023-02024-y,2022-04-05,2022-04-04,2024-01-02,-1,637
10.1083/jcb.202309015,2023-08-29,2023-09-05,2024-05-10,7,255
10.1126/scitranslmed.abo1997,2022-02-14,2022-01-24,2024-10-30,-21,989
10.1016/j.jbc.2024.107469,2023-11-15,2024-03-07,2024-06-12,113,210
10.1016/j.neuron.2023.12.011,2023-11-17,2023-07-21,2024-01-18,-119,62
10.1073/pnas.2312676121,2023-07-25,2023-07-26,2024-02-07,1,197
10.1073/pnas.2417390121,2024-09-03,2024-08-30,2024-12-05,-4,93
10.1093/hmg/ddae018,2024-01-08,2023-08-23,2024-02-07,-138,30
10.1126/sciadv.adp8504,2024-02-28,2024-04-17,2025-04-11,49,408
10.1073/pnas.2318943121,2023-10-13,2023-06-11,2024-04-18,-124,188
10.1016/j.xpro.2024.103140,2024-02-02,NA,2024-09-20,NA,231
10.1038/s41594-024-01338-y,2023-09-25,2023-10-03,2024-06-25,8,274
10.1523/eneuro.0001-24.2024,2023-12-23,2023-12-27,2024-06-25,4,185
10.1073/pnas.2313465121,NA,2024-08-05,2024-02-07,NA,NA
10.1016/j.nbd.2024.106757,2024-05-15,2024-05-15,2025-01-06,0,236
10.1016/j.addicn.2024.100183,2024-02-28,2024-08-28,2024-10-28,182,243
10.1088/1741-2552/ad6188,2023-09-08,2024-03-25,2024-08-05,199,332
10.1038/s41467-024-47027-8,2023-05-17,2024-01-30,2024-03-26,258,314
10.1016/j.parkreldis.2024.107158,2024-06-01,2024-06-14,2024-09-25,13,116
10.1038/s41531-024-00672-8,2023-10-07,2023-10-20,2024-03-19,13,164
10.1038/s41467-024-54253-7,2024-05-15,2024-01-17,2024-11-19,-119,188
10.1038/s41531-024-00867-z,2024-07-24,2024-07-24,2025-01-15,0,175
10.1126/sciadv.adq3539,2024-05-09,2024-05-09,2024-11-01,0,176
10.1101/gr.278576.123,2024-02-04,2023-09-29,2024-04-10,-128,66
10.1038/s41556-024-01356-4,2023-11-10,2023-04-24,2024-03-01,-200,112
10.1016/j.xpro.2024.103474,NA,NA,2024-12-20,NA,NA
10.3389/fnins.2025.1531122,2024-09-28,2024-11-19,2025-02-12,52,137
10.1126/scitranslmed.adl1535,2023-12-15,2023-10-12,2024-11-06,-64,327
10.1021/acs.jpcb.4c00174,2023-12-18,2024-01-09,2024-04-09,22,113
10.1126/sciadv.adk1296,2022-10-21,2023-08-03,2024-06-26,286,614
10.1073/pnas.2307904121,2023-10-18,2023-05-24,2024-01-11,-147,85
10.1038/s41531-024-00670-w,2023-11-13,2023-09-07,2024-03-11,-67,119
10.1016/j.cell.2024.05.030,2023-03-23,2022-11-20,2024-06-11,-123,446
10.1038/s41467-024-53168-7,2023-08-08,2023-08-14,2024-10-11,6,430
10.1093/braincomms/fcae190,2023-10-27,2023-10-20,2024-05-31,-7,217
10.1038/s41531-024-00729-8,2022-07-10,2024-02-05,2024-06-07,575,698
10.1186/s13024-024-00756-2,2023-12-11,2023-12-15,2024-10-08,4,302
10.1111/acel.14077,2023-07-21,2023-08-03,2024-02-01,13,195
10.1126/sciadv.adu5787,2024-03-27,2024-11-12,2025-01-22,230,301
10.1038/s41593-025-01906-5,2024-02-21,2024-07-08,2025-03-13,138,386
10.1016/j.stem.2023.12.009,2024-01-23,2022-12-16,2024-02-01,-403,9
10.1016/j.bbamcr.2023.119652,2023-06-01,2023-06-13,2024-02-01,12,245
10.1186/s40478-024-01761-8,2023-12-19,2023-12-19,2024-05-03,0,136
10.3390/ijms25073643,2024-02-13,2024-02-22,2024-03-25,9,41
10.1038/s41467-024-55607-x,2023-03-30,2023-04-11,2025-01-27,12,669
10.1073/pnas.2412029122,2024-06-11,2025-07-02,2025-01-28,386,231
10.1016/j.crmeth.2024.100861,2024-04-04,2023-07-12,2024-09-16,-267,165
10.1172/jci183592,2024-05-19,2024-07-01,2024-12-28,43,223
10.1083/jcb.202311189,2023-12-18,2023-12-05,2024-09-27,-13,284
10.1038/s41592-024-02517-x,2024-08-04,2024-03-01,2024-11-28,-156,116
10.1073/pnas.2314604121,2023-08-24,2023-08-24,2024-05-15,0,265
10.1016/j.bbi.2024.02.007,2023-08-13,2023-08-12,2024-02-08,-1,179
10.1073/pnas.2311885121,2022-06-20,2023-07-12,2024-01-10,387,569
10.1016/j.celrep.2024.114495,2023-12-08,2023-11-17,2024-08-27,-21,263
10.1126/sciadv.adp6301,2023-08-24,2024-04-03,2024-11-20,223,454
10.1038/s41531-024-00667-5,2024-02-18,2023-06-11,2024-03-13,-252,24
10.1038/s41594-024-01268-9,2024-01-28,2023-11-05,2024-04-10,-84,73
10.1016/j.crmeth.2024.100831,2024-02-24,2024-05-09,2024-08-06,75,164
10.1038/s41531-025-00904-5,2024-08-09,2024-10-08,2025-04-23,60,257
10.1038/s41598-024-82139-7,2024-02-01,2024-04-28,2025-02-01,87,366
10.1038/s41556-025-01653-6,2024-06-08,2024-05-24,2025-04-10,-15,306
10.1371/journal.pbio.3002483,2023-03-15,2023-03-17,2024-01-31,2,322
10.1038/s41531-024-00748-5,2024-01-26,2024-01-25,2024-07-20,-1,176
10.1038/s41531-024-00694-2,2023-03-02,2023-03-11,2024-04-12,9,407
10.1016/j.celrep.2024.114483,2022-11-01,2022-11-28,2024-07-17,27,624
10.1186/s40035-024-00403-2,2023-10-06,2023-10-09,2024-03-04,3,150
10.1016/j.celrep.2024.113784,2023-04-20,2023-04-12,2024-02-21,-8,307
10.1038/s41556-025-01623-y,2024-05-30,2024-05-21,2025-03-26,-9,300
10.1111/ejn.16307,2023-06-19,2023-07-31,2024-03-15,42,270
10.1016/j.cub.2024.01.067,2021-12-02,2022-02-13,2024-02-19,73,809
10.1038/s41531-024-00842-8,2024-06-13,2024-06-28,2024-12-11,15,181
10.1016/j.jneumeth.2024.110133,2024-02-20,2023-12-22,2024-04-06,-60,46
10.1083/jcb.202310150,2023-11-01,2023-10-29,2025-01-15,-3,441
10.7554/eLife.89687.3,2023-06-26,2023-06-03,2024-05-07,-23,316
10.1073/pnas.2419079121,2024-09-26,2024-09-23,2024-12-05,-3,70
10.26508/lsa.202402922,2024-06-17,2024-07-02,2024-11-13,15,149
10.1038/s41419-024-06534-8,2022-05-02,2023-07-18,2024-04-04,442,703
10.1038/s41587-025-02565-4,2023-12-24,2023-12-23,2025-03-20,-1,452
10.1007/s10048-024-00767-7,2023-01-17,2024-04-26,2024-07-18,465,548
10.1016/j.nbd.2024.106702,2024-05-20,2024-08-05,2024-10-13,77,146
10.1038/s41592-024-02382-8,2023-02-08,2023-02-03,2024-10-07,-5,607
10.1039/d4lc00107a,2023-10-17,2024-02-01,2024-06-06,107,233
10.1186/s12974-024-03322-1,2024-10-29,2024-11-01,2025-02-24,3,118
10.1172/jci180478,2024-02-12,2024-02-20,2024-12-17,8,309
10.1038/s42003-024-06940-w,2023-08-08,2023-11-30,2024-10-09,114,428
10.1038/s41598-024-60602-9,2023-08-05,2023-08-07,2024-05-22,2,291
10.3389/fnana.2024.1355940,2023-12-15,2023-12-14,2024-03-27,-1,103
10.1016/j.celrep.2025.115454,2024-08-29,2024-10-02,2025-04-22,34,236
10.3390/ijms25031827,2024-01-08,2024-01-04,2024-02-02,-4,25
10.1083/jcb.202307092,2023-07-25,2023-07-19,2024-03-21,-6,240
10.1038/s41531-024-00824-w,2024-03-25,2024-02-05,2024-11-05,-49,225
10.1016/j.neuron.2024.06.002,2022-12-02,2022-11-29,2024-07-29,-3,605
